OBJECT_NAME,EPOCH,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,v_r_km_s,v_t_km_s
STARLINK-33682,2025-05-03T22:00:01.999584,3276.8515838571243,2728.52967329411,-5330.650860261361,-5.979371567637611,4.56490622622692,-1.339308818989669,0.00019873267611481005,7.641007870120747
STARLINK-33710,2025-05-04T06:00:02.000160,1260.4000749526217,3972.141816122097,-5406.570238809073,-6.808389035535015,3.355511955216229,0.8782965008273472,-0.00018991737018625443,7.641009517602331
STARLINK-33733,2025-05-04T04:00:01.999584,5499.782973077357,230.78934687911575,-4036.442393610249,-3.256819108896787,5.5495220616471,-4.121335611824281,0.0006601374449291542,7.641300452821674
STARLINK-33638,2025-05-04T04:00:01.999584,1150.6481633711844,4022.840684785995,-5393.258147201474,-6.84070493059758,3.262375356560729,0.9740202731750338,-5.4354556348057415e-05,7.641142087685475
STARLINK-33726,2025-05-04T04:00:01.999584,6219.161522176484,-1939.6169668322336,-2036.9872173238327,-0.2637676946038207,5.110732935214729,-5.675030649374297,0.0009796409853923826,7.641671050460519
STARLINK-33681,2025-05-03T22:00:01.999584,-1927.043999297092,4876.206764052746,-4370.462474757756,-6.670928389660836,0.65148625508635,3.669770508731592,-0.0009727903125460458,7.641526978358741
STARLINK-33730,2025-05-04T04:00:01.999584,-3468.63668884032,4907.008653998177,-3215.318003562189,-5.773167770674386,-0.8420391348847169,4.944158361628149,-0.0005741741103804099,7.647430783486208
STARLINK-33743,2025-05-04T04:00:01.999584,-1565.677913788929,4882.221972276429,-4503.014390661936,-6.735369030743387,1.0314856972238218,3.460985654813649,-0.0005140140846054964,7.642485208522801
STARLINK-33715,2025-05-04T04:00:01.999584,-4730.98434522658,4514.327852103566,-1891.2347027724688,-4.498141278658685,-2.309336054832527,5.743434943999277,-0.000976549472364141,7.652016203539153
STARLINK-33762,2025-05-04T04:00:01.999584,5783.949812291651,-3618.618346303975,192.04001548828128,2.577808301377812,3.794119215197963,-6.11229131381592,0.0009728329862146445,7.642024628089882
STARLINK-33753,2025-05-04T04:00:01.999584,957.6123038381018,4112.802326755868,-5363.234353981986,-6.877604990008244,3.1192031147808925,1.1640914582776944,-0.00010381116005353519,7.64107239739969
STARLINK-33747,2025-05-04T02:30:00.683712,-5840.768615367132,3482.524692148546,9.574561239273445,-2.342891661569263,-3.947175594942665,6.127344146469605,-0.00046789186368689784,7.655957326521244
STARLINK-33659,2025-05-02T10:13:49.674432,-6267.541699047194,2633.371697073808,9.580757502516018,-1.7695322278428658,-4.236537637078804,6.128551267195073,-0.0010363065368668156,7.65758676192878
STARLINK-33746,2025-05-04T04:00:01.999584,-5757.756071644416,3609.102965918056,-142.15474681172998,-2.54700850074176,-3.8236819933431234,6.126679319562803,-0.0008746527948488847,7.657936733142175
STARLINK-33799,2025-05-04T04:00:01.999584,-5829.534888677616,3497.1757708242776,35.88412543981065,-2.333464248949249,-3.9540859882630808,6.1280063260540505,-0.000768489435319708,7.65717391374162
STARLINK-33797,2025-05-04T02:27:11.548800,-5840.508824615008,3484.623434849085,9.59017533117132,-2.3403403573983765,-3.947181196169648,6.125418672343852,-0.003957883256608952,7.65363773839092
STARLINK-33798,2025-05-04T00:51:51.794496,-5851.402255597408,3449.890428443873,9.574612469542,-2.330090615299808,-3.958265505682876,6.131523189569432,0.005509174714519283,7.661118349314859
STARLINK-33736,2025-05-02T07:04:35.072832,-6293.6347062144005,2567.0807966842995,9.576327109105415,-1.7258457887088912,-4.254656112255928,6.128476132666552,-0.00022285515867714878,7.6576015813673735
STARLINK-33740,2025-05-04T03:57:05.600160,-5819.465916524377,3515.636664326607,9.586894004141026,-2.3656038660877496,-3.933515649606908,6.126973262721288,-0.0005180379020792714,7.6556141563358615
STARLINK-33763,2025-05-04T02:26:15.301536,-5840.296344171164,3484.770606999412,9.576970600542108,-2.339989929928525,-3.948211688595546,6.126313743404338,-0.004956062676393369,7.65477784982667
STARLINK-33784,2025-05-02T07:03:05.952960,-6293.180933501107,2567.5705824926576,9.58114378977406,-1.7257897435139404,-4.254891116358484,6.12875868583413,-0.0007806065092792469,7.6579456168560665
STARLINK-33768,2025-05-03T18:39:06.707808,-5927.873319003728,3325.581149748868,9.572677556352168,-2.2381307070395007,-4.008830494087377,6.12881899907203,-0.0008336927377743386,7.657830803854358
STARLINK-33761,2025-05-03T18:38:37.202208,-5927.678518168826,3325.926524662704,9.581813773403464,-2.238365082915286,-4.008690923827039,6.128831141807366,-0.0008205875665001638,7.657835964462249
STARLINK-33737,2025-05-04T02:22:36.469344,-5835.450558475924,3484.556351054709,9.574079119967696,-2.346037018418695,-3.947006489716845,6.129070390677557,-0.0006920003448960266,7.6582147591115275
STARLINK-33795,2025-05-03T18:36:38.560320,-5927.2000123098105,3326.5955563806524,9.58303000419042,-2.2388025941280536,-4.008479484176088,6.128936065879726,-0.0008865050924866669,7.657937146796458
STARLINK-33756,2025-05-03T21:42:55.522656,-5891.117253859805,3390.0361948311665,9.57678028841867,-2.2817096441316864,-3.9843567795005854,6.128880434415301,-0.0009709885631636883,7.657967895141355
STARLINK-33780,2025-05-04T02:22:04.814976,-5835.622006217234,3484.702366900809,9.58716171662419,-2.346089137580269,-3.946982888506203,6.128722282748595,-0.000649438437370975,7.657939968485112
STARLINK-33679,2025-05-03T22:40:46.156224,-5792.701098412489,-3604.576024449457,6.9533837967544905,2.956934020912239,-4.7439447417802,5.212562471280701,0.0011021357145541977,7.643250409308402
STARLINK-33706,2025-05-04T06:00:02.000160,4146.714538209834,-3134.6989653665187,4419.443006672332,5.530497223643481,5.016637922209184,-1.6314303882828367,-0.0003327115040883122,7.6429458054071855
STARLINK-33691,2025-05-03T22:00:01.999584,1703.8513558983614,-4733.346897876486,4609.174344547671,6.911274261303087,3.183878182611606,0.7152404609692506,0.00030076368792997243,7.6429288249472425
STARLINK-33696,2025-05-03T22:00:01.999584,-2381.067494238242,-5490.691240998698,3275.934649478696,6.652413617740832,-0.6770821036035568,3.70198814081098,0.000773035973349101,7.6431513601160885
STARLINK-33701,2025-05-03T22:00:01.999584,4135.426496903061,-3105.207890369121,4450.823761886605,5.474554121921682,5.111437718526548,-1.5208704947802312,-0.00023260843504946394,7.64268181936236
STARLINK-33685,2025-05-03T22:00:01.999584,5808.795405714735,-899.4589300245289,3464.4042120967647,3.0188578864432416,6.09814170872481,-3.4802616495656777,-0.0008989183446019844,7.642843422418984
STARLINK-33654,2025-05-03T22:00:01.999584,6405.308494829301,1466.5111964517694,1836.6506399134405,0.0084110636936562,5.956116287692402,-4.789553828350124,-0.001194569294848069,7.64298478515918
STARLINK-33697,2025-05-04T06:00:02.000160,-1077.9848289211286,-5445.860032672825,3967.129428588428,7.117147156883172,0.5756367655084254,2.7246754868143235,0.0003116364596092436,7.64257795183437
STARLINK-33720,2025-05-04T06:00:02.000160,1830.4808979452623,5451.767583803508,-3662.8539556486144,-6.936807216691627,0.1702485130381124,-3.212183846897529,-0.00055402080260189,7.6463326946365004
STARLINK-33587,2025-05-04T06:00:02.000160,3049.1954598298253,5310.952855680588,-3005.0925852811515,-6.373573385298187,1.4065470393482586,-3.979510410579147,-0.0007870259897446719,7.644430309720839
STARLINK-33637,2025-05-02T08:00:29.385216,-5237.307514452856,-4322.450076117255,6.952406856755721,3.5711442129581505,-4.319411683808439,5.2259755255543165,0.0005292636906983894,7.662976458109343
STARLINK-33744,2025-05-04T06:00:02.000160,-1254.7855371085063,4888.362130528727,-4568.412044416234,-7.103081057542351,-2.691509948578937,-0.9291274475070612,5.9507913451772865e-05,7.652533183429273
STARLINK-33766,2025-05-04T06:00:02.000160,5111.118205309017,-2100.457003193946,4002.623731301445,4.404169569786195,5.652081044413447,-2.6585545135601945,-0.0004272657638948463,7.642685499944622
STARLINK-33765,2025-05-03T22:38:32.684640,-5876.776441459034,-3408.4352035817174,6.958621484526361,2.8188591900383164,-4.842064473884985,5.224271257771078,-0.0037665260402168776,7.660584278668118
STARLINK-33735,2025-05-03T22:37:25.559616,-5876.942778735909,-3407.31587683374,6.950267918935567,2.8140349545442085,-4.844415961633971,5.223805445219339,0.0007124511924851973,7.659980519338618
STARLINK-33731,2025-05-04T06:00:02.000160,6308.153067348583,2480.7061295145577,774.6066195933358,-1.5135457969185684,5.450739799983495,-5.1401744018611,-0.0011151381179730357,7.643479370320107
STARLINK-33718,2025-05-03T22:36:25.988544,-5877.124949044894,-3406.861981313785,6.952731021142691,2.813248877324273,-4.844668136813312,5.224098362027797,0.0011220471673119015,7.660050981473433
STARLINK-33630,2025-05-04T06:00:02.000160,2126.015164260865,5390.424342979126,-3544.60326293386,-6.864977525402844,0.4951344329943268,-3.363524932442927,-0.0005447271323287262,7.660703244837272
STARLINK-33695,2025-05-04T06:00:02.000160,1920.1489665980769,5401.651727492154,-3642.841735085781,-6.942141304058056,0.2907191522796961,-3.227088963001913,-0.0005605600560452395,7.661066921252699
STARLINK-33713,2025-05-04T06:00:02.000160,1504.8943321741242,5406.566216722422,-3826.107539634304,-7.071468898199286,-0.1163194588450684,-2.945027250428038,-0.0003991830742662572,7.661095740239932
STARLINK-33721,2025-05-04T06:00:02.000160,1713.6603817696623,5407.118313946376,-3736.537351422718,-7.010672347669152,0.0873802427936141,-3.087821814597587,-0.0005409947426525535,7.66105771674075
STARLINK-33639,2025-05-04T06:00:02.000160,1083.1882479738051,5387.406720669355,-3992.170379723806,-7.169217375670714,-0.5226523838188326,-2.649818594041484,-0.0004160130122332073,7.661095333057249
STARLINK-33667,2025-05-03T16:00:25.982496,-5807.117141471546,-3432.282362387348,6.961066533383708,2.8641818736947267,-4.837629231451833,5.242386808056636,0.0011803881643741576,7.686924771231257
STARLINK-33688,2025-05-03T22:00:01.999584,2317.3842394806597,-4420.89582595878,4651.882921649061,6.711250816048306,3.6542230117398855,0.1296555651907496,0.00010993810958659367,7.642711815117519
STARLINK-33700,2025-05-04T06:00:02.000160,6308.328507724503,171.68967789405815,2590.398281234381,1.6112888497449522,6.089052991639959,-4.330620767284706,-0.0011823653965274683,7.643761699867519
STARLINK-33687,2025-04-28T11:37:42.547872,-3345.825174277013,-5901.518578857776,6.9592490656813535,4.878976547640166,-2.7609512290996645,5.227562704320663,0.0008818301902979719,7.665159808632144
STARLINK-33716,2025-05-04T06:00:02.000160,-1011.877027202569,4987.536793867785,-4542.571559980745,-7.144906470245712,-2.474431526688376,-1.1251240425914546,-8.723558079259952e-05,7.644501550293237
STARLINK-33754,2025-05-03T22:00:01.999584,3097.7798362543026,-3942.1987657905074,4623.136897144028,6.304977097567194,4.284785943590393,-0.571026456305901,2.8714638116156266e-06,7.644488079461546
POSAT-2,2025-05-03T21:43:37.519968,-6345.206660332668,-2801.779946653187,14.706844392832446,-0.38056285353468,0.9163352050713732,7.514580958348021,-0.006070103845014885,7.57980134482096
2025-052BK,2025-05-03T22:26:42.370368,6548.088312837678,2168.4437551478068,14.711731683434074,0.2909445842821819,-0.940444525598602,7.535158283885853,-0.0033800567564710726,7.599189667015913
HYDRA-W,2025-05-03T20:46:44.924736,6535.091011738945,2173.240381244182,14.725241067159391,0.2877214756645141,-0.9412669394411208,7.540009066669397,-0.007882232532381017,7.603975387566061
UNICORN-2Q,2025-05-03T20:21:02.062656,6529.808044081939,2174.368150112607,14.72725898246583,0.2878752136417747,-0.9415007151394356,7.5423142121078275,-0.008183515698405142,7.606295579286405
HADES-ICM,2025-05-03T19:20:33.713664,6539.200368117241,2165.72671760654,14.71647611940927,0.2869547959092036,-0.9414190733748584,7.538873707461276,-0.007469799836884228,7.602839857957722
STARLINK-33828,2025-05-04T06:00:02.000160,270.8122009128713,4565.023528047897,-5043.605625918922,-6.666408447852376,2.9549504661075314,2.3171344384632646,-0.0003875702830924421,7.651264320780482
STARLINK-33819,2025-05-04T06:00:02.000160,-569.7538896818651,4886.853885741418,-4696.509503305674,-6.644774942093807,2.201780528054949,3.0976692676637603,-0.00037741361785270655,7.6548302576991984
STARLINK-33845,2025-05-04T06:00:02.000160,-878.6711669844517,4980.068662878341,-4542.25357818513,-6.603673680684239,1.910307517967448,3.37297724281234,-0.000735230163963374,7.657333467606803
STARLINK-33829,2025-05-04T06:00:02.000160,-1074.4190976774992,5034.254474708956,-4439.380526765308,-6.566581885721455,1.721573890374045,3.542560134818221,-0.0006870794085687137,7.6572544791607875
STARLINK-33815,2025-05-03T22:00:01.999584,4354.235306060614,1468.6729514047988,-5009.352134363406,-4.63963656307878,5.602485978863479,-2.3907586831516374,0.00033869817959630844,7.657010091881023
STARLINK-33833,2025-05-04T06:00:02.000160,-1653.2461763983283,5162.638744077714,-4101.171677173873,-6.41161466922634,1.144796302675403,4.026764307314751,-0.0006332564516686734,7.657296626545689
STARLINK-33534,2025-05-03T22:00:01.999584,4213.7811285338175,1634.1960646743923,-5077.571480566146,-4.801029454480593,5.54439288349335,-2.2003677550250877,0.00039164583306328105,7.6571400910058856
STARLINK-33838,2025-05-04T04:00:01.999584,5896.194860682734,-1797.356650509836,-2864.9984997929373,-0.8391623304516505,5.548741409029146,-5.209986746355187,0.0008344910349391554,7.657459490062303
STARLINK-33837,2025-05-03T22:00:01.999584,3920.319498850461,1958.4639003480536,-5196.648756765963,-5.1063614265829855,5.409751542891118,-1.813729036019077,0.0002276597299180061,7.657019768746663
STARLINK-33818,2025-05-03T22:00:01.999584,3111.732490972838,2729.6667439375788,-5392.164118098333,-5.768680118196841,4.968983753926867,-0.8136742943806515,8.027427968237966e-05,7.657057901293456
STARLINK-33583,2025-05-03T22:00:01.999584,-4385.083166728238,4878.45266974102,-1781.7307289679702,-4.589235452067532,-2.011381292050224,5.790697879377058,-0.0008405819742098863,7.657605236636779
STARLINK-33811,2025-05-03T22:00:01.999584,3445.5769371570227,2430.349904037119,-5332.146889431995,-5.523023164583687,5.161979201841205,-1.2164523862993697,0.00025261417113608964,7.656994874040904
STARLINK-33825,2025-05-01T10:04:13.516896,-6196.408531479773,2776.3243895607484,9.578274957255804,-1.869292767783147,-4.195402911244878,6.130566765275776,-0.0009098019571094351,7.660255157312494
STARLINK-33792,2025-05-04T06:00:02.000160,-2925.46435556302,5259.056770679497,-3160.512888742791,-5.804977441693622,-0.2322833704635822,4.98834490461292,-0.000745166443341827,7.6573691954136835
STARLINK-33843,2025-05-04T04:00:01.999584,-4702.199643670209,4719.157868097995,-1047.6735444377864,-3.9750625692462656,-2.6216193041394664,6.035923749063885,-0.000589460172624845,7.6880677261786365
STARLINK-33809,2025-05-04T04:00:01.999584,-4816.098674478815,4639.81728863067,-869.7140011067837,-3.7933786813335337,-2.800142012528144,6.072517759110366,-0.0006250164166661243,7.688041925899348
STARLINK-33678,2025-05-04T04:00:01.999584,-4924.224190832323,4555.485358433862,-691.2849456183764,-3.608125962091112,-2.975018393993133,6.102274475761273,-0.0005697218838145446,7.688111657348498
STARLINK-33764,2025-05-04T04:00:01.999584,-5026.867046555899,4466.107636482301,-511.9534303255143,-3.418633759190352,-3.146797866852069,6.125249008075435,-0.0007062636959429547,7.688177190103086
STARLINK-33804,2025-05-04T04:00:01.999584,-5123.9198076217945,4371.720758125926,-332.0538521993704,-3.22544756438134,-3.314972313749362,6.141373430344987,-0.0006621519931035991,7.688239109445049
STARLINK-33751,2025-05-04T04:00:01.999584,-5215.660861099733,4272.178873571866,-151.435714252294,-3.028135845556175,-3.4798427193096537,6.150536126016361,-0.0006215823526445341,7.68817314459959
STARLINK-33750,2025-05-04T04:00:01.999584,-5301.233865109198,4168.158538685547,28.950238598592524,-2.827924456456905,-3.64050754155836,6.1528603772402,-0.0006816618856797518,7.688181985926183
